trial,pgo,d,RT
645,0.5,4,338
646,0.5,4,338
647,0.5,4,339
648,0.5,4,339
649,0.5,4,340
650,0.5,4,340
651,0.5,4,340
652,0.5,4,340
653,0.5,4,342
654,0.5,4,342
655,0.5,4,345
656,0.5,4,345
657,0.5,4,346
658,0.5,4,347
659,0.5,4,347
660,0.5,4,347
661,0.5,4,348
662,0.5,4,348
663,0.5,4,348
664,0.5,4,348
665,0.5,4,348
666,0.5,4,348
667,0.5,4,349
668,0.5,4,349
669,0.5,4,350
670,0.5,4,350
671,0.5,4,350
672,0.5,4,350
673,0.5,4,351
674,0.5,4,351
675,0.5,4,351
676,0.5,4,351
677,0.5,4,351
678,0.5,4,352
679,0.5,4,352
680,0.5,4,352
681,0.5,4,353
682,0.5,4,353
683,0.5,4,353
684,0.5,4,354
685,0.5,4,354
686,0.5,4,354
687,0.5,4,358
688,0.5,4,358
689,0.5,4,360
690,0.5,4,361
691,0.5,4,361
692,0.5,4,362
693,0.5,4,362
694,0.5,4,362
695,0.5,4,362
696,0.5,4,362
697,0.5,4,362
698,0.5,4,363
699,0.5,4,364
700,0.5,4,365
701,0.5,4,365
702,0.5,4,365
703,0.5,4,365
704,0.5,4,366
705,0.5,4,366
706,0.5,4,366
707,0.5,4,366
708,0.5,4,366
709,0.5,4,367
710,0.5,4,367
711,0.5,4,367
712,0.5,4,368
713,0.5,4,369
714,0.5,4,370
715,0.5,4,370
716,0.5,4,371
717,0.5,4,371
718,0.5,4,371
719,0.5,4,372
720,0.5,4,373
721,0.5,4,373
722,0.5,4,374
723,0.5,4,376
724,0.5,4,376
725,0.5,4,376
726,0.5,4,377
727,0.5,4,378
728,0.5,4,379
729,0.5,4,379
730,0.5,4,379
731,0.5,4,380
732,0.5,4,381
733,0.5,4,381
734,0.5,4,382
735,0.5,4,385
736,0.5,4,385
737,0.5,4,385
738,0.5,4,385
739,0.5,4,386
740,0.5,4,386
741,0.5,4,386
742,0.5,4,387
743,0.5,4,387
744,0.5,4,388
745,0.5,4,388
746,0.5,4,389
747,0.5,4,389
748,0.5,4,390
749,0.5,4,391
750,0.5,4,392
751,0.5,4,392
752,0.5,4,393
753,0.5,4,393
754,0.5,4,393
755,0.5,4,394
756,0.5,4,395
757,0.5,4,395
758,0.5,4,395
759,0.5,4,395
760,0.5,4,395
761,0.5,4,396
762,0.5,4,397
763,0.5,4,397
764,0.5,4,398
765,0.5,4,398
766,0.5,4,398
767,0.5,4,401
768,0.5,4,404
769,0.5,4,413
770,0.5,4,413
771,0.5,4,413
772,0.5,4,416
773,0.5,4,418
774,0.5,4,419
775,0.5,4,423
776,0.5,4,424
777,0.5,4,429
778,0.5,4,430
779,0.5,4,430
780,0.5,4,431
781,0.5,4,432
782,0.5,4,435
783,0.5,4,436
784,0.5,4,438
785,0.5,4,438
786,0.5,4,444
787,0.5,4,444
788,0.5,4,445
789,0.5,4,445
790,0.5,4,446
791,0.5,4,448
792,0.5,4,448
793,0.5,4,450
794,0.5,4,457
795,0.5,4,459
796,0.5,4,465
797,0.5,4,479
798,0.5,4,480
799,0.5,4,483
800,0.5,4,494
801,0.75,1,186
802,0.75,1,190
803,0.75,1,196
804,0.75,1,215
805,0.75,1,216
806,0.75,1,216
807,0.75,1,216
808,0.75,1,217
809,0.75,1,218
810,0.75,1,220
811,0.75,1,221
812,0.75,1,222
813,0.75,1,222
814,0.75,1,223
815,0.75,1,223
816,0.75,1,224
817,0.75,1,226
818,0.75,1,228
819,0.75,1,229
820,0.75,1,229
821,0.75,1,230
822,0.75,1,232
823,0.75,1,233
824,0.75,1,233
825,0.75,1,233
826,0.75,1,234
827,0.75,1,235
828,0.75,1,235
829,0.75,1,235
830,0.75,1,236
831,0.75,1,236
832,0.75,1,237
833,0.75,1,237
834,0.75,1,237
835,0.75,1,237
836,0.75,1,238
837,0.75,1,238
838,0.75,1,238
839,0.75,1,240
840,0.75,1,240
841,0.75,1,240
842,0.75,1,241
843,0.75,1,242
844,0.75,1,243
845,0.75,1,244
846,0.75,1,245
847,0.75,1,245
848,0.75,1,246
849,0.75,1,247
850,0.75,1,247
851,0.75,1,247
852,0.75,1,247
853,0.75,1,248
854,0.75,1,249
855,0.75,1,250
856,0.75,1,250
857,0.75,1,251
858,0.75,1,251
859,0.75,1,251
860,0.75,1,252
861,0.75,1,252
862,0.75,1,252
863,0.75,1,253
864,0.75,1,253
865,0.75,1,253
866,0.75,1,254
867,0.75,1,254
868,0.75,1,255
869,0.75,1,255
870,0.75,1,255
871,0.75,1,256
872,0.75,1,256
873,0.75,1,256
874,0.75,1,257
875,0.75,1,257
876,0.75,1,258
877,0.75,1,258
878,0.75,1,260
879,0.75,1,261
880,0.75,1,261
881,0.75,1,262
882,0.75,1,262
883,0.75,1,263
884,0.75,1,263
885,0.75,1,264
886,0.75,1,264
887,0.75,1,264
888,0.75,1,264
889,0.75,1,264
890,0.75,1,265
891,0.75,1,265
892,0.75,1,265
893,0.75,1,265
894,0.75,1,265
895,0.75,1,266
896,0.75,1,266
897,0.75,1,266
898,0.75,1,267
899,0.75,1,267
900,0.75,1,267
901,0.75,1,268
902,0.75,1,269
903,0.75,1,269
904,0.75,1,269
905,0.75,1,270
906,0.75,1,271
907,0.75,1,271
908,0.75,1,271
909,0.75,1,271
910,0.75,1,272
911,0.75,1,273
912,0.75,1,273
913,0.75,1,273
914,0.75,1,273
915,0.75,1,273
916,0.75,1,273
917,0.75,1,273
918,0.75,1,274
919,0.75,1,274
920,0.75,1,274
921,0.75,1,274
922,0.75,1,274
923,0.75,1,274
924,0.75,1,275
925,0.75,1,275
926,0.75,1,275
927,0.75,1,275
928,0.75,1,275
929,0.75,1,275
930,0.75,1,275
931,0.75,1,275
932,0.75,1,276
933,0.75,1,276
934,0.75,1,276
935,0.75,1,276
936,0.75,1,277
937,0.75,1,277
938,0.75,1,277
939,0.75,1,278
940,0.75,1,278
941,0.75,1,278
942,0.75,1,278
943,0.75,1,278
944,0.75,1,279
945,0.75,1,279
946,0.75,1,279
947,0.75,1,279
948,0.75,1,280
949,0.75,1,280
950,0.75,1,280
951,0.75,1,281
952,0.75,1,281
953,0.75,1,281
954,0.75,1,282
955,0.75,1,282
956,0.75,1,282
957,0.75,1,283
958,0.75,1,283
959,0.75,1,284
960,0.75,1,284
961,0.75,1,284
962,0.75,1,284
963,0.75,1,284
964,0.75,1,285
965,0.75,1,285
966,0.75,1,285
967,0.75,1,285
968,0.75,1,285
969,0.75,1,286
970,0.75,1,286
971,0.75,1,287
972,0.75,1,287
973,0.75,1,287
974,0.75,1,288
975,0.75,1,288
976,0.75,1,289
977,0.75,1,289
978,0.75,1,289
979,0.75,1,289
980,0.75,1,290
981,0.75,1,290
982,0.75,1,290
983,0.75,1,290
984,0.75,1,291
985,0.75,1,291
986,0.75,1,291
987,0.75,1,291
988,0.75,1,292
989,0.75,1,292
990,0.75,1,292
991,0.75,1,292
992,0.75,1,292
993,0.75,1,293
994,0.75,1,294
995,0.75,1,294
996,0.75,1,294
997,0.75,1,294
998,0.75,1,294
999,0.75,1,295
1000,0.75,1,295
1001,0.75,1,295
1002,0.75,1,295
1003,0.75,1,295
1004,0.75,1,295
1005,0.75,1,295
1006,0.75,1,295
1007,0.75,1,295
1008,0.75,1,295
1009,0.75,1,296
1010,0.75,1,296
1011,0.75,1,296
1012,0.75,1,296
1013,0.75,1,297
1014,0.75,1,297
1015,0.75,1,297
1016,0.75,1,297
1017,0.75,1,297
1018,0.75,1,297
1019,0.75,1,298
1020,0.75,1,298
1021,0.75,1,298
1022,0.75,1,298
1023,0.75,1,299
1024,0.75,1,299
1025,0.75,1,299
1026,0.75,1,300
1027,0.75,1,300
1028,0.75,1,300
1029,0.75,1,300
1030,0.75,1,300
1031,0.75,1,300
1032,0.75,1,300
1033,0.75,1,301
1034,0.75,1,301
1035,0.75,1,301
1036,0.75,1,302
1037,0.75,1,302
1038,0.75,1,302
1039,0.75,1,303
1040,0.75,1,303
1041,0.75,1,303
1042,0.75,1,303
1043,0.75,1,304
1044,0.75,1,304
1045,0.75,1,304
1046,0.75,1,305
1047,0.75,1,305
1048,0.75,1,306
1049,0.75,1,306
1050,0.75,1,307
1051,0.75,1,307
1052,0.75,1,308
1053,0.75,1,308
1054,0.75,1,308
1055,0.75,1,308
1056,0.75,1,308
1057,0.75,1,309
1058,0.75,1,309
1059,0.75,1,309
1060,0.75,1,309
1061,0.75,1,310
1062,0.75,1,311
1063,0.75,1,311
1064,0.75,1,311
1065,0.75,1,311
1066,0.75,1,312
1067,0.75,1,312
1068,0.75,1,312
1069,0.75,1,312
1070,0.75,1,312
1071,0.75,1,312
1072,0.75,1,313
1073,0.75,1,314
1074,0.75,1,314
1075,0.75,1,314
1076,0.75,1,314
1077,0.75,1,314
1078,0.75,1,314
1079,0.75,1,315
1080,0.75,1,315
1081,0.75,1,315
1082,0.75,1,316
1083,0.75,1,316
1084,0.75,1,316
1085,0.75,1,316
1086,0.75,1,317
1087,0.75,1,317
1088,0.75,1,318
1089,0.75,1,318
1090,0.75,1,318
1091,0.75,1,319
1092,0.75,1,319
1093,0.75,1,319
1094,0.75,1,319
1095,0.75,1,319
1096,0.75,1,319
1097,0.75,1,319
1098,0.75,1,320
1099,0.75,1,320
1100,0.75,1,320
1101,0.75,1,320
1102,0.75,1,321
1103,0.75,1,321
1104,0.75,1,321
1105,0.75,1,321
1106,0.75,1,321
1107,0.75,1,322
